tanggal,lombok_terjual,tomat_terjual
01-07-2024,392,84
02-07-2024,492,159
03-07-2024,62,22
04-07-2024,78,38
06-07-2024,361,56
08-07-2024,214,120
09-07-2024,55,60
10-07-2024,376,42
11-07-2024,196,85
12-07-2024,486,93
15-07-2024,354,112
16-07-2024,210,76
17-07-2024,190,76
18-07-2024,264,58
20-07-2024,255,122
22-07-2024,246,24
23-07-2024,74,30
24-07-2024,112,56
27-07-2024,450,72
29-07-2024,44,16
30-07-2024,425,116
31-07-2024,166,48
