tanggal,lombok_terjual,tomat_terjual
31-10-2024,357,87
30-10-2024,72,16
29-10-2024,137,50
26-10-2024,220,71
25-10-2024,72,17
24-10-2024,44,11
22-10-2024,114,22
21-10-2024,25,15
19-10-2024,152,50
18-10-2024,190,23
16-10-2024,40,18
15-10-2024,2,5
14-10-2024,103,35
11-10-2024,116,18
10-10-2024,99,19
09-10-2024,117,46
09-10-2024,29,13
08-10-2024,106,29
07-10-2024,7,6
05-10-2024,63,18
04-10-2024,133,24
