tanggal,lombok_terjual,tomat_terjual
03-06-2024,288,80
04-06-2024,186,62
05-06-2024,224,38
06-06-2024,280,100
08-06-2024,362,146
10-06-2024,268,16
11-06-2024,56,40
12-06-2024,5,8
13-06-2024,261,68
14-06-2024,130,60
18-06-2024,252,74
19-06-2024,24,0
20-06-2024,254,54
21-06-2024,157,45
22-06-2024,162,10
23-06-2024,92,32
24-06-2024,158,36
25-06-2024,32,32
26-06-2024,10,16
27-06-2024,68,26
29-06-2024,140,70
